id,slug,startDate,lastTradePrice
1105483,nhl-col-det-2026-01-31,2026-01-04T16:31:27.438727Z,0.999
1105484,nhl-nyr-pit-2026-01-31,2026-01-04T16:31:28.207861Z,0.001
1105487,nhl-car-wsh-2026-01-31,2026-01-04T16:31:29.577381Z,0.001
1105488,nhl-tor-van-2026-01-31,2026-01-04T16:31:29.057857Z,0.999
1105489,nhl-cbj-stl-2026-01-31,2026-01-04T16:31:29.836054Z,0.999
1105490,nhl-nj-ott-2026-01-31,2026-01-04T16:31:27.1819Z,0.001
1105491,nhl-nsh-nyi-2026-01-31,2026-01-04T16:31:35.284664Z,0.999
1114882,nhl-bos-tb-2026-02-01,2026-01-05T16:31:29.102699Z,0.001
1122664,nhl-buf-fla-2026-02-02,2026-01-06T16:31:23.364733Z,0.999
1122665,nhl-nyi-wsh-2026-02-02,2026-01-06T16:31:23.877213Z,0.001
1122666,nhl-ott-pit-2026-02-02,2026-01-06T16:31:23.108629Z,0.999
1129493,nhl-buf-tb-2026-02-03,2026-01-07T16:31:27.553213Z,0.001
1129496,nhl-cbj-nj-2026-02-03,2026-01-07T16:31:28.326326Z,0.999
1137062,nhl-mon-wpg-2026-02-04,2026-01-08T16:31:33.906894Z,0.999
1137063,nhl-bos-fla-2026-02-04,2026-01-08T16:31:33.651529Z,0.001
1137064,nhl-min-nsh-2026-02-04,2026-01-08T16:31:32.808191Z,0.999
1143969,nhl-nsh-wsh-2026-02-05,2026-01-09T16:34:35.958555Z,0.001
1143970,nhl-fla-tb-2026-02-05,2026-01-09T16:34:36.645546Z,0.001
1143971,nhl-ott-phi-2026-02-05,2026-01-09T16:34:35.701247Z,0.999
1143972,nhl-car-nyr-2026-02-05,2026-01-09T16:34:36.215388Z,0.999
1047708,nhl-buf-nyi-2026-01-24,2025-12-28T16:31:22.965913Z,0.999
1047711,nhl-det-wpg-2026-01-24,2025-12-28T16:31:25.876523Z,0.999
1047712,nhl-car-ott-2026-01-24,2025-12-28T16:31:26.132496Z,0.999
1047715,nhl-fla-min-2026-01-24,2025-12-28T16:31:26.646464Z,0.999
1058496,nhl-col-tor-2026-01-25,2025-12-29T16:31:28.518562Z,0.999
1058497,nhl-nj-sea-2026-01-25,2025-12-29T16:31:28.26219Z,0.001
1058499,nhl-pit-van-2026-01-25,2025-12-29T16:31:27.748903Z,0.999
1066640,nhl-nyi-phi-2026-01-26,2025-12-30T16:31:25.715538Z,0.999
1066642,nhl-bos-nyr-2026-01-26,2025-12-30T16:31:25.197937Z,0.001
1066643,nhl-ana-edm-2026-01-26,2025-12-30T16:31:26.668037Z,0.001
1074799,nhl-buf-tor-2026-01-27,2025-12-31T16:31:26.016413Z,0.999
1074804,nhl-chi-min-2026-01-27,2025-12-31T16:31:29.03447Z,0.001
1074805,nhl-dal-stl-2026-01-27,2025-12-31T16:31:27.344805Z,0.999
1074807,nhl-sj-van-2026-01-27,2025-12-31T16:31:28.777437Z,0.999
1082020,nhl-col-ott-2026-01-28,2026-01-01T16:31:21.958814Z,0.001
1087858,nhl-chi-pit-2026-01-29,2026-01-02T16:31:18.95479Z,0.001
1087861,nhl-nyi-nyr-2026-01-29,2026-01-02T16:31:19.210987Z,0.999
1087862,nhl-col-mon-2026-01-29,2026-01-02T16:31:27.960935Z,0.001
1087868,nhl-fla-stl-2026-01-29,2026-01-02T16:31:31.690786Z,0.09
1087872,nhl-ana-van-2026-01-29,2026-01-02T16:31:31.434837Z,0.001
1097752,nhl-cbj-chi-2026-01-30,2026-01-03T16:31:23.042031Z,0.999
989373,nhl-fla-wsh-2026-01-17,2025-12-21T16:31:20.413378Z,0.999
989375,nhl-mon-ott-2026-01-17,2025-12-21T16:31:22.4767Z,0.999
989376,nhl-car-nj-2026-01-17,2025-12-21T16:31:23.832389Z,0.999
989377,nhl-bos-chi-2026-01-17,2025-12-21T16:31:36.851567Z,0.999
989380,nhl-edm-van-2026-01-17,2025-12-21T16:31:36.595Z,0.999
1004771,nhl-buf-car-2026-01-19,2025-12-23T16:31:17.960401Z,0.001
1004773,nhl-pit-sea-2026-01-19,2025-12-23T16:31:20.846561Z,0.999
1004775,nhl-min-tor-2026-01-19,2025-12-23T16:31:15.089231Z,0.999
1004780,nhl-nyi-van-2026-01-19,2025-12-23T16:31:21.174183Z,0.999
1011962,nhl-sj-tb-2026-01-20,2025-12-24T16:31:29.936983Z,0.001
1011963,nhl-min-mon-2026-01-20,2025-12-24T16:31:28.990162Z,0.001
1011964,nhl-bos-dal-2026-01-20,2025-12-24T16:31:28.476506Z,0.001
1011965,nhl-stl-wpg-2026-01-20,2025-12-24T16:31:28.732965Z,0.01
1011966,nhl-buf-nsh-2026-01-20,2025-12-24T16:31:29.679988Z,0.999
1020421,nhl-det-tor-2026-01-21,2025-12-25T16:31:22.432013Z,0.999
1020422,nhl-ana-col-2026-01-21,2025-12-25T16:31:24.539028Z,0.999
1020425,nhl-nyi-sea-2026-01-21,2025-12-25T16:31:28.536503Z,0.001
1028904,nhl-buf-mon-2026-01-22,2025-12-26T16:31:07.087967Z,0.999
1028907,nhl-fla-wpg-2026-01-22,2025-12-26T16:31:26.887069Z,0.999
1028910,nhl-det-min-2026-01-22,2025-12-26T16:31:30.762612Z,0.001
1039349,nhl-ana-sea-2026-01-23,2025-12-27T16:31:23.591787Z,0.999
1039350,nhl-nj-van-2026-01-23,2025-12-27T16:31:25.491219Z,0.999
1039351,nhl-nyr-sj-2026-01-23,2025-12-27T16:31:23.848034Z,0.01
941406,nhl-nj-wpg-2026-01-11,2025-12-15T16:31:21.731742Z,0.001
949261,nhl-car-det-2026-01-12,2025-12-16T16:31:11.737979Z,0.001
955411,nhl-mon-wsh-2026-01-13,2025-12-17T16:31:25.64449Z,0.001
955415,nhl-nyi-wpg-2026-01-13,2025-12-17T16:31:27.191273Z,0.001
955416,nhl-edm-nsh-2026-01-13,2025-12-17T16:31:27.447009Z,0.001
955417,nhl-car-stl-2026-01-13,2025-12-17T16:31:26.934476Z,0.001
972673,nhl-sj-wsh-2026-01-15,2025-12-19T16:31:11.655799Z,0.999
972674,nhl-phi-pit-2026-01-15,2025-12-19T16:31:20.221959Z,0.018
989369,nhl-nyr-phi-2026-01-17,2025-12-21T16:31:18.236027Z,0.999
989372,nhl-tor-wpg-2026-01-17,2025-12-21T16:31:22.73343Z,0.999
989374,nhl-cbj-pit-2026-01-17,2025-12-21T16:31:21.963163Z,0.999
896286,nhl-car-nj-2026-01-04,2025-12-08T16:39:06.814045Z,1.0
902569,nhl-ana-wsh-2026-01-05,2025-12-09T16:36:45.819926Z,1.0
902571,nhl-det-ott-2026-01-05,2025-12-09T16:36:46.33069Z,1.0
906857,nhl-col-tb-2026-01-06,2025-12-10T16:31:24.575378Z,0.001
906858,nhl-ana-phi-2026-01-06,2025-12-10T16:31:22.098619Z,0.001
906859,nhl-nj-nyi-2026-01-06,2025-12-10T16:31:26.00625Z,0.001
906862,nhl-fla-tor-2026-01-06,2025-12-10T16:31:24.319305Z,0.002
906865,nhl-bos-sea-2026-01-06,2025-12-10T16:31:26.953663Z,0.001
906866,nhl-cbj-sj-2026-01-06,2025-12-10T16:31:25.23715Z,0.001
914647,nhl-dal-wsh-2026-01-07,2025-12-11T17:51:58.572168Z,0.999
920327,nhl-nj-pit-2026-01-08,2025-12-12T16:31:23.540551Z,0.001
920328,nhl-buf-nyr-2026-01-08,2025-12-12T16:31:23.029512Z,0.999
920329,nhl-fla-mon-2026-01-08,2025-12-12T16:31:24.079406Z,0.001
920330,nhl-ana-car-2026-01-08,2025-12-12T16:31:24.334327Z,0.009
920333,nhl-edm-wpg-2026-01-08,2025-12-12T16:31:27.888157Z,0.999
920336,nhl-min-sea-2026-01-08,2025-12-12T16:31:28.651859Z,0.999
933464,nhl-dal-sj-2026-01-10,2025-12-14T16:37:46.624646Z,0.001
933465,nhl-cbj-col-2026-01-10,2025-12-14T16:37:48.199252Z,0.006
933468,nhl-fla-ott-2026-01-10,2025-12-14T16:37:48.454949Z,0.999
933469,nhl-det-mon-2026-01-10,2025-12-14T16:37:47.416838Z,0.999
933471,nhl-ana-buf-2026-01-10,2025-12-14T16:37:48.710748Z,0.001
933473,nhl-chi-nsh-2026-01-10,2025-12-14T16:37:48.966618Z,0.999
798670,nhl-cbj-ott-2025-12-29,2025-12-02T16:31:20.959596Z,1.0
810168,nhl-nj-tor-2025-12-30,2025-12-03T16:31:09.65061Z,1.0
810170,nhl-car-pit-2025-12-30,2025-12-03T16:31:12.732729Z,1.0
810172,nhl-phi-van-2025-12-30,2025-12-03T16:31:11.495584Z,1.0
821592,nhl-nyr-wsh-2025-12-31,2025-12-04T16:31:25.182234Z,1.0
821595,nhl-min-sj-2025-12-31,2025-12-04T16:31:27.440636Z,1.0
821598,nhl-buf-dal-2025-12-31,2025-12-04T16:31:27.949411Z,1.0
821600,nhl-bos-edm-2025-12-31,2025-12-04T16:31:29.073369Z,1.0
834842,nhl-det-pit-2026-01-01,2025-12-05T16:31:15.638032Z,1.0
834845,nhl-nsh-sea-2026-01-01,2025-12-05T16:31:19.735186Z,1.0
865617,nhl-sea-van-2026-01-02,2025-12-06T16:31:29.671416Z,1.0
884904,nhl-buf-cbj-2026-01-03,2025-12-07T16:31:21.700397Z,1.0
884907,nhl-mon-stl-2026-01-03,2025-12-07T16:31:21.446371Z,1.0
884909,nhl-chi-wsh-2026-01-03,2025-12-07T16:31:24.073248Z,1.0
884915,nhl-bos-van-2026-01-03,2025-12-07T16:31:25.613677Z,1.0
896285,nhl-col-fla-2026-01-04,2025-12-08T16:39:06.558824Z,1.0
698663,nhl-sea-sj-2025-12-20,2025-11-23T16:31:26.814045Z,1.0
701027,nhl-col-min-2025-12-21,2025-11-24T16:31:11.270603Z,1.0
701030,nhl-mon-pit-2025-12-21,2025-11-24T16:31:10.751236Z,1.0
701031,nhl-buf-nj-2025-12-21,2025-11-24T16:31:11.528368Z,1.0
703497,nhl-stl-tb-2025-12-22,2025-11-25T16:31:22.578307Z,1.0
705762,nhl-pit-tor-2025-12-23,2025-11-26T16:31:28.26725Z,1.0
705763,nhl-nyr-wsh-2025-12-23,2025-11-26T16:31:28.527351Z,1.0
705764,nhl-buf-ott-2025-12-23,2025-11-26T16:31:30.358098Z,1.0
705765,nhl-nj-nyi-2025-12-23,2025-11-26T16:31:32.864498Z,1.0
705767,nhl-dal-det-2025-12-23,2025-11-26T16:31:30.873502Z,1.0
776037,nhl-min-wpg-2025-12-27,2025-11-30T16:31:30.424447Z,1.0
776039,nhl-ott-tor-2025-12-27,2025-11-30T16:31:32.405409Z,1.0
776042,nhl-bos-buf-2025-12-27,2025-11-30T16:31:35.239575Z,1.0
776043,nhl-nsh-stl-2025-12-27,2025-11-30T16:31:34.982676Z,1.0
776044,nhl-chi-dal-2025-12-27,2025-11-30T16:31:32.916533Z,1.0
776047,nhl-sj-van-2025-12-27,2025-11-30T16:31:36.654858Z,1.0
787943,nhl-mon-tb-2025-12-28,2025-12-01T16:31:13.496824Z,1.0
787947,nhl-phi-sea-2025-12-28,2025-12-01T16:31:27.240786Z,1.0
798672,nhl-edm-wpg-2025-12-29,2025-12-02T16:31:22.658829Z,1.0
798673,nhl-buf-stl-2025-12-29,2025-12-02T16:31:22.351451Z,1.0
685744,nhl-car-phi-2025-12-14,2025-11-16T16:31:17.268022Z,1.0
687259,nhl-bos-min-2025-12-14,2025-11-17T16:31:18.16363Z,1.0
691607,nhl-chi-tor-2025-12-16,2025-11-19T16:31:17.165317Z,1.0
691608,nhl-ana-cbj-2025-12-16,2025-11-19T16:31:17.677104Z,1.0
691609,nhl-edm-pit-2025-12-16,2025-11-19T16:31:18.188693Z,1.0
691615,nhl-col-sea-2025-12-16,2025-11-19T16:31:17.932158Z,1.0
693276,nhl-car-nsh-2025-12-17,2025-11-20T16:31:23.196032Z,1.0
695301,nhl-tor-wsh-2025-12-18,2025-11-21T16:31:27.644687Z,1.0
695305,nhl-chi-mon-2025-12-18,2025-11-21T16:31:29.612456Z,1.0
695308,nhl-nyr-stl-2025-12-18,2025-11-21T16:31:27.902302Z,1.0
695310,nhl-dal-sj-2025-12-18,2025-11-21T16:31:29.09621Z,1.0
697223,nhl-car-fla-2025-12-19,2025-11-22T16:31:15.497086Z,1.0
698652,nhl-det-wsh-2025-12-20,2025-11-23T16:31:23.603261Z,1.0
698654,nhl-edm-min-2025-12-20,2025-11-23T16:31:23.086349Z,1.0
698655,nhl-chi-ott-2025-12-20,2025-11-23T16:31:21.063296Z,1.0
698659,nhl-car-tb-2025-12-20,2025-11-23T16:31:23.860897Z,1.0
685737,nhl-ana-nj-2025-12-13,2025-11-16T16:31:17.526404Z,1.0
666566,nhl-dal-nyr-2025-12-02,2025-11-05T16:31:17.870497Z,1.0
666569,nhl-bos-det-2025-12-02,2025-11-05T16:31:21.58101Z,1.0
667942,nhl-dal-nj-2025-12-03,2025-11-06T16:31:19.831483Z,1.0
667943,nhl-buf-phi-2025-12-03,2025-11-06T16:31:20.351794Z,1.0
669527,nhl-pit-tb-2025-12-04,2025-11-07T16:31:10.335414Z,1.0
669528,nhl-nyr-ott-2025-12-04,2025-11-07T16:31:10.077606Z,1.0
669529,nhl-col-nyi-2025-12-04,2025-11-07T16:31:13.364315Z,1.0
672833,nhl-col-nyr-2025-12-06,2025-11-09T16:31:09.459878Z,1.0
672834,nhl-cbj-fla-2025-12-06,2025-11-09T16:31:09.717261Z,1.0
674482,nhl-col-phi-2025-12-07,2025-11-10T16:31:22.179781Z,1.0
655261,nhl-dal-edm-2025-11-25,2025-10-29T15:31:04.587995Z,1.0
656838,nhl-wpg-wsh-2025-11-26,2025-10-30T15:31:19.612304Z,1.0
656839,nhl-buf-pit-2025-11-26,2025-10-30T15:31:18.081039Z,1.0
656840,nhl-bos-nyi-2025-11-26,2025-10-30T15:31:18.847195Z,1.0
656847,nhl-dal-sea-2025-11-26,2025-10-30T15:31:22.048166Z,1.0
